store_id,sku,opening_stock,closing_stock,replenishment_qty,lead_time
S001,SKU0001,129,111,38,5
S001,SKU0002,174,154,37,7
S001,SKU0003,54,23,117,1
S001,SKU0004,66,43,125,4
S001,SKU0005,53,27,37,2
S001,SKU0006,293,276,31,3
S001,SKU0007,62,29,122,6
S001,SKU0008,246,234,109,2
S001,SKU0009,101,70,65,6
S001,SKU0010,80,42,85,2
S001,SKU0011,63,29,108,6
S001,SKU0012,299,275,30,1
S001,SKU0013,142,132,39,7
S001,SKU0014,255,220,63,5
S001,SKU0015,199,189,126,6
S001,SKU0016,86,74,29,1
S001,SKU0017,219,187,146,3
S001,SKU0018,55,21,61,7
S001,SKU0019,261,251,125,5
S001,SKU0020,115,78,142,7
S001,SKU0021,281,252,74,7
S001,SKU0022,217,198,89,1
S001,SKU0023,206,185,85,5
S001,SKU0024,168,142,68,5
S001,SKU0025,271,249,84,5
S001,SKU0026,224,189,127,3
S001,SKU0027,194,159,80,2
S001,SKU0028,236,208,36,7
S001,SKU0029,132,101,40,4
S001,SKU0030,115,103,41,1
S001,SKU0031,201,190,103,2
S001,SKU0032,60,35,142,2
S001,SKU0033,265,239,91,7
S001,SKU0034,62,39,21,7
S001,SKU0035,205,182,83,2
S001,SKU0036,61,47,123,3
S001,SKU0037,197,175,64,4
S001,SKU0038,116,95,106,2
S001,SKU0039,202,175,31,7
S001,SKU0040,256,225,64,6
S001,SKU0041,150,137,49,7
S001,SKU0042,285,259,142,1
S001,SKU0043,267,232,52,5
S001,SKU0044,55,21,73,3
S001,SKU0045,93,63,34,5
S001,SKU0046,227,190,141,5
S001,SKU0047,101,89,120,6
S001,SKU0048,111,98,22,3
S001,SKU0049,289,270,146,6
S001,SKU0050,157,129,127,1
S001,SKU0051,199,186,118,1
S001,SKU0052,121,86,80,7
S001,SKU0053,57,35,113,3
S001,SKU0054,204,187,40,4
S001,SKU0055,284,251,98,6
S001,SKU0056,202,186,122,2
S001,SKU0057,50,30,142,6
S001,SKU0058,111,91,112,1
S001,SKU0059,252,218,48,4
S001,SKU0060,284,273,42,6
S001,SKU0061,116,83,92,1
S001,SKU0062,180,154,148,1
S001,SKU0063,290,257,84,5
S001,SKU0064,272,256,62,3
S001,SKU0065,254,233,73,7
S001,SKU0066,108,72,126,1
S001,SKU0067,243,210,41,2
S001,SKU0068,56,28,36,4
S001,SKU0069,72,53,73,5
S001,SKU0070,295,273,125,7
S001,SKU0071,189,164,121,1
S001,SKU0072,89,54,117,6
S001,SKU0073,120,84,117,3
S001,SKU0074,222,192,100,4
S001,SKU0075,79,68,28,2
S001,SKU0076,110,77,27,5
S001,SKU0077,101,74,20,1
S001,SKU0078,236,219,45,7
S001,SKU0079,122,87,29,4
S001,SKU0080,288,257,138,6
S001,SKU0081,167,141,76,7
S001,SKU0082,270,260,82,5
S001,SKU0083,276,241,137,4
S001,SKU0084,126,97,21,4
S001,SKU0085,272,254,91,4
S001,SKU0086,228,197,51,4
S001,SKU0087,283,260,82,6
S001,SKU0088,213,180,71,4
S001,SKU0089,71,51,39,1
S001,SKU0090,179,148,84,3
S001,SKU0091,268,232,77,3
S001,SKU0092,81,69,125,3
S001,SKU0093,278,252,127,7
S001,SKU0094,89,78,128,4
S001,SKU0095,63,53,104,1
S001,SKU0096,164,132,141,4
S001,SKU0097,270,258,46,1
S001,SKU0098,286,256,62,5
S001,SKU0099,130,105,36,2
S001,SKU0100,203,169,81,4
S001,SKU0101,229,213,115,6
S001,SKU0102,293,256,86,4
S001,SKU0103,59,36,136,7
S001,SKU0104,220,182,87,3
S001,SKU0105,190,169,120,6
S001,SKU0106,164,139,136,6
S001,SKU0107,290,260,112,2
S001,SKU0108,128,98,25,2
S001,SKU0109,119,83,79,2
S001,SKU0110,86,71,105,1
S001,SKU0111,138,126,98,1
S001,SKU0112,228,217,96,5
S001,SKU0113,138,115,101,3
S001,SKU0114,125,94,71,7
S001,SKU0115,272,235,85,2
S001,SKU0116,297,259,105,3
S001,SKU0117,208,188,27,1
S001,SKU0118,90,68,118,6
S001,SKU0119,298,268,130,7
S001,SKU0120,259,223,35,6
S001,SKU0121,221,192,69,6
S001,SKU0122,171,137,132,1
S001,SKU0123,174,162,27,3
S001,SKU0124,285,249,95,4
S001,SKU0125,273,238,145,1
S001,SKU0126,278,259,120,5
S001,SKU0127,191,172,89,1
S001,SKU0128,297,263,73,2
S001,SKU0129,131,109,87,2
S001,SKU0130,119,96,45,7
S001,SKU0131,296,280,65,2
S001,SKU0132,235,225,35,3
S001,SKU0133,290,271,95,4
S001,SKU0134,243,229,55,3
S001,SKU0135,166,142,125,2
S001,SKU0136,144,106,75,3
