sku,category,subcategory,supplier
SKU0001,Household,A,Supplier1
SKU0002,Snacks,B,Supplier3
SKU0003,Personal Care,B,Supplier3
SKU0004,Snacks,A,Supplier3
SKU0005,Snacks,C,Supplier1
SKU0006,Beverage,B,Supplier2
SKU0007,Personal Care,B,Supplier1
SKU0008,Personal Care,B,Supplier2
SKU0009,Personal Care,A,Supplier3
SKU0010,Snacks,D,Supplier3
SKU0011,Household,B,Supplier1
SKU0012,Personal Care,D,Supplier1
SKU0013,Dairy,C,Supplier2
SKU0014,Snacks,B,Supplier2
SKU0015,Beverage,B,Supplier1
SKU0016,Household,C,Supplier2
SKU0017,Dairy,B,Supplier1
SKU0018,Dairy,D,Supplier2
SKU0019,Beverage,A,Supplier1
SKU0020,Household,D,Supplier1
SKU0021,Snacks,A,Supplier1
SKU0022,Food,A,Supplier2
SKU0023,Household,D,Supplier2
SKU0024,Beverage,D,Supplier2
SKU0025,Dairy,D,Supplier1
SKU0026,Snacks,D,Supplier2
SKU0027,Household,C,Supplier2
SKU0028,Food,B,Supplier1
SKU0029,Food,A,Supplier3
SKU0030,Personal Care,D,Supplier1
SKU0031,Personal Care,D,Supplier2
SKU0032,Beverage,D,Supplier1
SKU0033,Household,C,Supplier3
SKU0034,Household,D,Supplier1
SKU0035,Dairy,D,Supplier2
SKU0036,Dairy,D,Supplier3
SKU0037,Dairy,B,Supplier2
SKU0038,Personal Care,C,Supplier3
SKU0039,Household,D,Supplier3
SKU0040,Household,A,Supplier1
SKU0041,Food,A,Supplier1
SKU0042,Personal Care,A,Supplier2
SKU0043,Snacks,C,Supplier1
SKU0044,Personal Care,C,Supplier1
SKU0045,Snacks,A,Supplier3
SKU0046,Food,D,Supplier1
SKU0047,Beverage,C,Supplier3
SKU0048,Household,A,Supplier3
SKU0049,Food,A,Supplier3
SKU0050,Household,D,Supplier2
SKU0051,Dairy,B,Supplier2
SKU0052,Beverage,C,Supplier2
SKU0053,Beverage,D,Supplier3
SKU0054,Food,A,Supplier2
SKU0055,Beverage,A,Supplier2
SKU0056,Snacks,D,Supplier1
SKU0057,Beverage,C,Supplier2
SKU0058,Household,B,Supplier2
SKU0059,Household,B,Supplier3
SKU0060,Household,A,Supplier3
SKU0061,Household,C,Supplier3
SKU0062,Snacks,B,Supplier3
SKU0063,Personal Care,C,Supplier3
SKU0064,Dairy,C,Supplier3
SKU0065,Food,A,Supplier2
